"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"0.0","0.0","0","0.0","33.007","16.498","15.853","-0.866","5.583","12.553","9.307","17.501","-100.0","15.861","20.932","-100.0","6.257","5.643","-100.0"
"0.0","0.0","1","0.0","31.826","17.938","16.342","-1.635","5.658","11.356","9.501","17.636","23.82","15.473","19.77","-100.0","6.36","5.974","-100.0"
"0.0","0.0","2","0.0","31.366","16.763","15.97","-1.516","5.62","11.356","9.573","17.623","23.982","15.304","20.585","-100.0","6.254","5.834","-100.0"
"0.0","0.0","3","0.0","31.591","16.604","15.951","-1.523","5.711","11.459","9.541","17.664","24.594","15.708","19.526","-100.0","6.291","5.951","-100.0"
"0.0","0.0","4","0.0","31.123","16.723","16.029","-1.594","5.733","11.342","9.501","17.655","24.132","15.545","20.07","-100.0","6.251","6.01","-100.0"
"0.0","0.0","5","0.0","-100.0","16.648","15.99","-1.594","5.748","10.976","9.535","17.542","-100.0","15.314","-100.0","-100.0","6.251","5.936","-100.0"
"0.0","0.0","6","0.0","31.245","16.691","16.01","-1.485","5.633","11.107","9.579","17.664","23.657","14.967","20.585","-100.0","6.257","5.99","-100.0"
"0.0","0.0","7","0.0","31.713","16.773","16.107","-1.523","5.701","11.093","9.719","17.639","23.67","14.923","19.757","-100.0","6.257","6.01","-100.0"
"0.0","0.0","8","0.0","31.601","16.679","15.951","-1.591","5.592","11.517","9.798","17.701","24.457","15.595","19.76","-100.0","6.257","5.99","-100.0"
"0.0","0.0","9","0.0","31.366","16.644","15.932","-1.532","5.595","11.063","9.654","17.626","-100.0","15.439","20.688","-100.0","6.401","6.01","-100.0"
"0.0","0.0","10","0.0","-100.0","16.635","15.951","-1.673","5.623","10.946","9.769","17.551","-100.0","15.233","20.351","-100.0","6.298","5.892","-100.0"
"0.0","0.0","11","0.0","31.723","16.707","15.775","-1.566","5.667","12.059","9.723","17.648","24.132","15.498","-100.0","-100.0","6.335","5.878","-100.0"
"0.0","0.0","12","0.0","31.713","16.638","15.931","-1.561","5.77","11.723","9.66","17.542","24.607","15.401","20.576","-100.0","6.251","5.873","-100.0"
"0.0","0.0","13","0.0","-100.0","16.563","15.834","-1.56","5.626","11.43","9.61","17.551","-100.0","15.317","-100.0","-100.0","6.329","5.873","-100.0"
"0.0","0.0","14","0.0","31.479","16.648","15.873","-1.566","5.742","11.181","9.697","17.505","24.757","15.342","-100.0","-100.0","6.335","5.916","-100.0"
"0.0","0.0","15","0.0","31.479","16.676","15.892","-1.56","5.583","11.195","9.651","17.567","24.444","15.395","20.544","-100.0","6.298","6.01","-100.0"
"0.0","0.0","16","0.0","31.835","16.648","15.99","-1.557","5.661","11.239","9.694","17.686","24.607","15.351","20.707","-100.0","6.257","5.99","-100.0"
