batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,0,20.932000000000,7.352000000000,6.498000000000,33.476000000000,17.522000000000,15.502000000000,25.707000000000,9.154000000000,8.529000000000,-100,33.241000000000,-100,17.664000000000,4.720000000000,-0.504000000000,16.417000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,1,19.757000000000,7.469000000000,6.752000000000,32.257000000000,16.991000000000,16.996000000000,25.620000000000,8.669000000000,8.602000000000,-100,-100,-100,17.976000000000,4.183000000000,-0.348000000000,16.614000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,2,18.669000000000,7.041000000000,7.225000000000,32.257000000000,18.954000000000,15.326000000000,25.232000000000,8.913000000000,8.734000000000,-100,-100,-100,18.248000000000,3.533000000000,-0.110000000000,16.854000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,3,19.770000000000,6.913000000000,7.401000000000,-100,16.766000000000,14.838000000000,-100,9.026000000000,8.705000000000,-100,-100,-100,17.664000000000,3.421000000000,-0.123000000000,16.651000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,4,20.232000000000,7.273000000000,7.372000000000,32.419000000000,16.916000000000,15.111000000000,26.088000000000,8.829000000000,8.646000000000,-100,-100,-100,18.086000000000,3.390000000000,-0.191000000000,16.692000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,5,19.444000000000,7.257000000000,7.357000000000,31.713000000000,16.879000000000,15.443000000000,25.845000000000,8.957000000000,8.661000000000,-100,-100,-100,18.292000000000,3.456000000000,-0.001000000000,16.798000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,6,19.526000000000,7.308000000000,7.396000000000,32.419000000000,16.766000000000,15.072000000000,26.088000000000,8.869000000000,8.383000000000,-100,31.957000000000,-100,18.367000000000,3.558000000000,0.042000000000,17.014000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,7,-100,7.385000000000,7.489000000000,-100,16.719000000000,14.877000000000,-100,8.757000000000,8.690000000000,-100,-100,-100,18.489000000000,3.439000000000,-0.035000000000,17.111000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,8,20.454000000000,7.198000000000,7.518000000000,-100,16.876000000000,15.385000000000,25.741000000000,8.991000000000,8.559000000000,-100,-100,-100,18.489000000000,3.358000000000,0.117000000000,16.779000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,9,19.291000000000,7.357000000000,7.396000000000,32.257000000000,16.876000000000,14.857000000000,26.169000000000,8.991000000000,8.397000000000,-100,-100,-100,18.411000000000,3.629000000000,0.001000000000,16.770000000000
